ms,ax,ay,az,gx,gy,gz,roll_x100,pitch_x100
1997, 610, -108, 3412, -175, 19, -120, -64, -262
2007, 596, -172, 3340, -153, 24, -90, -73, -260
2017, 566, -208, 3278, -133, 12, -48, -83, -259
2027, 569, -204, 3274, -177, -29, 0, -95, -261
2037, 600, -90, 3357, -319, -61, 5, -112, -265
2047, 577, -81, 3345, -356, -88, -12, -131, -270
2057, 553, -102, 3450, -379, -63, -55, -151, -273
2067, 606, -119, 3316, -476, -54, -100, -178, -277
2077, 496, -279, 3494, -638, -94, -68, -218, -280
2087, 647, -103, 3318, -668, -99, -83, -254, -287
2097, 553, -152, 3740, -559, -33, -106, -284, -287
2107, 689, -84, 3401, -489, 39, -118, -308, -287
2117, 593, -184, 3426, -513, 9, -140, -335, -286
2127, 581, -334, 3441, -716, 19, -141, -378, -284
2137, 605, -321, 3131, -949, -67, -110, -435, -289
2147, 630, -420, 3584, -832, -24, -122, -485, -291
2157, 612, -424, 3413, -761, 15, -69, -530, -290
2167, 636, -494, 3416, -636, -27, -63, -569, -292
2177, 662, -578, 3324, -435, 28, -93, -597, -292
2187, 606, -605, 3157, -450, 18, -110, -626, -291
2197, 616, -695, 3392, -442, 50, -102, -656, -288
2207, 579, -668, 3080, -325, 38, -166, -679, -286
2217, 586, -667, 3070, -371, -42, -102, -705, -288
2227, 804, -648, 3147, -329, -3, -152, -726, -294
2237, 384, -521, 3460, -92, -20, -112, -728, -289
2247, 634, -547, 3314, -227, 25, -59, -739, -289
2257, 654, -587, 3335, -157, 33, -102, -747, -288
2267, 632, -588, 3375, -179, 36, -100, -756, -286
2277, 584, -559, 3324, -266, 33, -104, -769, -284
2287, 600, -613, 3361, -208, 36, -131, -780, -282
2297, 603, -601, 3209, -249, 15, -142, -794, -281
2307, 614, -700, 3331, -391, -5, -112, -818, -282
2319, 649, -577, 3246, -517, -53, -62, -846, -286
2327, 712, -699, 3484, -515, 21, -55, -876, -288
2337, 673, -614, 3311, -529, -2, -81, -905, -290
2347, 605, -715, 3422, -486, 52, -88, -932, -286
2357, 643, -710, 3271, -433, 40, -102, -957, -285
2367, 560, -835, 3301, -368, 58, -119, -980, -280
2377, 590, -679, 3188, -292, 54, -81, -994, -277
2387, 625, -817, 3320, -261, -18, -29, -1009, -279
2397, 583, -763, 3282, -400, 8, -29, -1031, -278
2407, 628, -816, 3311, -327, 19, -21, -1050, -278
2417, 571, -780, 3295, -442, -11, -27, -1074, -278
2427, 603, -827, 3332, -527, -13, -23, -1104, -279
2437, 606, -832, 3288, -496, -11, -27, -1132, -280
2447, 611, -739, 3301, -523, -35, -49, -1159, -282
2457, 649, -763, 3524, -468, 48, -95, -1181, -280
2467, 680, -736, 3477, -390, 118, -179, -1197, -275
2477, 658, -876, 3483, -314, 197, -226, -1213, -264
2487, 639, -1011, 3237, -395, 211, -249, -1237, -253
2497, 584, -1002, 3229, -361, 177, -199, -1259, -242
2507, 624, -1142, 3084, -368, 155, -145, -1286, -235
2517, 551, -1072, 3008, -426, 77, -82, -1314, -230
2527, 524, -1073, 3051, -400, 17, -36, -1339, -228
2537, 520, -1110, 3082, -395, -25, -11, -1365, -229
2547, 516, -1064, 3102, -444, -60, -13, -1392, -231
2557, 563, -988, 3189, -395, -68, -17, -1413, -235
2567, 611, -1093, 3298, -391, -50, -30, -1435, -240
2577, 693, -1137, 3229, -447, -75, -4, -1461, -248
2587, 670, -1236, 3307, -474, -7, 19, -1491, -250
2597, 635, -1218, 3176, -572, 25, 25, -1527, -251
2607, 585, -1121, 3189, -527, 7, 6, -1556, -250
2617, 644, -1266, 3173, -546, -4, 0, -1590, -253
2627, 620, -1232, 3155, -583, 20, -31, -1625, -253
2637, 593, -1193, 3220, -560, 23, -56, -1657, -252
2647, 568, -1264, 3268, -520, 16, -58, -1686, -250
2657, 622, -1285, 3236, -470, 7, -55, -1713, -251
2667, 597, -1353, 3272, -307, 49, -43, -1731, -248
2677, 593, -1344, 3231, -272, 72, 11, -1746, -244
2687, 618, -1424, 3143, -266, 65, 56, -1764, -242
2697, 703, -1286, 3161, -293, 100, 44, -1779, -239
2707, 613, -1344, 3322, -132, 127, -16, -1784, -233
2717, 594, -1442, 3161, -112, 177, -74, -1792, -223
2727, 523, -1358, 3014, -140, 167, -85, -1800, -212
